Tên feature,Định nghĩa/Ý nghĩa,Công thức tính,Source,Grain,Ý nghĩa trong mô hình
quarter,Giữ tín hiệu theo quý để bám Q2/Q3 trong insight,quarter(date),Mùa vụ rủi ro vận hành,date (daily),"Feature calendar dùng trực tiếp target date, không shift 549 ngày"
is_q3,Nhận diện quý rủi ro lợi nhuận/vận hành,"1 nếu quarter=3, ngược lại 0",Mùa vụ rủi ro vận hành,date (daily),"Feature calendar dùng trực tiếp target date, không shift 549 ngày"
is_december,Nhận diện tháng có rủi ro biên/hoàn trả cao,"1 nếu month=12, ngược lại 0",Mùa vụ rủi ro vận hành,date (daily),"Feature calendar dùng trực tiếp target date, không shift 549 ngày"
lead_time_mean_7d,Mức phục vụ giao hàng gần nhất,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: trung bình(delivery_date - order_date) 7 ngày,Vận hành giao hàng,business-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
lead_time_p90_7d,Tail risk giao hàng trễ,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: p90(delivery_date - order_date) 7 ngày,Vận hành giao hàng,business-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
lead_time_p95_7d,Cực trị giao hàng trễ,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: p95(delivery_date - order_date) 7 ngày,Vận hành giao hàng,business-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
late_rate_7d,KPI vận hành lõi ảnh hưởng refund/rating,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: % đơn có lead_time > SLA trong 7 ngày,Vận hành giao hàng,business-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
ontime_rate_7d,Tỷ lệ giao đúng hẹn,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: 1 - late_rate_7d,Vận hành giao hàng,business-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
orders_8_10_days_share,Cụm rủi ro đã được nhấn mạnh trong insight,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: % đơn có lead_time từ 8–10 ngày,Vận hành giao hàng,business-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
orders_gt10_days_share,Nhóm đơn đuôi xấu gây khiếu nại mạnh,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: % đơn có lead_time > 10 ngày,Vận hành giao hàng,business-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
shipping_fee_avg_7d,Áp lực chi phí giao vận,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: trung bình shipping_fee 7 ngày,Vận hành giao hàng,business-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
cancel_rate_7d,Tổn thất đơn hàng từ khâu vận hành/thanh toán,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: % đơn cancelled trong 7 ngày,Vận hành giao hàng,business-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
pre_ship_cancel_rate_7d,Vấn đề xác nhận đơn và kỳ vọng giao,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: % đơn hủy trước ship_date,Vận hành giao hàng,business-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
post_ship_cancel_rate_7d,Lãng phí vận hành sau khi đã xử lý đơn,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: % đơn hủy sau ship_date,Vận hành giao hàng,business-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
cod_share_7d,Tín hiệu lane có rủi ro hủy/trả cao,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: % đơn dùng COD trong 7 ngày,Vận hành giao hàng,business-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
return_rate_7d,Chất lượng fulfillment tổng thể,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: số return / số đơn đã giao trong 7 ngày,Refund & Returns,business-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
refund_to_revenue_7d,Đo mức rò rỉ doanh thu,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: refund_amount / gross_revenue trong 7 ngày,Refund & Returns,business-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
refund_amount_7d,Quy mô thiệt hại tuyệt đối do hoàn tiền,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: tổng refund amount 7 ngày,Refund & Returns,business-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
wrong_size_share_7d,Driver refund lớn nhất theo insight,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: refund_wrong_size / total_refund,Refund & Returns,business-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
defective_share_7d,Tín hiệu lỗi chất lượng sản phẩm,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: refund_defective / total_refund,Refund & Returns,business-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
not_as_described_share_7d,Tín hiệu lệch mô tả sản phẩm,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: refund_not_as_described / total_refund,Refund & Returns,business-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
late_delivery_refund_share_7d,Thiệt hại hoàn trả do vận hành giao hàng,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: refund_late_delivery / total_refund,Refund & Returns,business-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
exchange_share_7d,Mức chuyển từ refund sang exchange,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: exchange_orders / total_return_orders,Refund & Returns,business-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
rating_leq2_share_7d,Cảnh báo hậu quả dịch vụ vận hành kém,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: % review có rating <= 2 trong 7 ngày,Refund & Returns,business-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
low_rating_after_late_share_7d,Đo trực tiếp tác động late lên trải nghiệm,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: % review<=2 trong nhóm đơn late,Refund & Returns,business-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
stockout_flag_rate_7d,Mất cơ hội bán do thiếu hàng,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: % SKU có stockout_flag=1 trong 7 ngày,Tồn kho Domain 5,inventory-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
overstock_flag_rate_7d,Rủi ro markdown và khóa vốn,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: % SKU có overstock_flag=1 trong 7 ngày,Tồn kho Domain 5,inventory-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
avg_dos_7d,Tồn kho trung bình toàn nhóm,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: trung bình DOS 7 ngày,Tồn kho Domain 5,inventory-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
p90_dos_28d,Đuôi tồn kho dài gây áp lực biên,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: p90 DOS trong 28 ngày,Tồn kho Domain 5,inventory-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
p95_dos_28d,Cực trị tồn kho lâu ngày,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: p95 DOS trong 28 ngày,Tồn kho Domain 5,inventory-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
dos_tail_ratio,Mức lệch đuôi so với nền tồn kho,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: p90_dos_28d / avg_dos_7d,Tồn kho Domain 5,inventory-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
hero_sku_stockout_rate,Tránh thiếu hàng ở SKU chủ lực,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: % stockout của top SKU theo doanh thu,Tồn kho Domain 5,sku-day (sku x date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
fill_rate_weighted_rev,Đo khả năng phục vụ đúng SKU tạo tiền,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: fill_rate có trọng số doanh thu,Tồn kho Domain 5,inventory-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
low_stock_sku_share,Cảnh báo sớm đứt hàng,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: % SKU dưới tồn kho an toàn,Tồn kho Domain 5,sku-day (sku x date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
stale_stock_share_180d,Cảnh báo tồn kho ì ạch,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: % SKU tồn >180 ngày,Tồn kho Domain 5,inventory-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
inventory_imbalance_idx,Chỉ số “kẹp hai đầu” thiếu-dư đồng thời,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: overstock_flag_rate_7d * stockout_flag_rate_7d,Tồn kho Domain 5,inventory-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
inv_turnover_proxy,Tốc độ quay vòng tồn kho,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: COGS_28d / avg_inventory_value_28d,Tồn kho Domain 5,inventory-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
lane_late_rate_7d,Xác định lane giao hàng rủi ro,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: late_rate theo region x traffic_source,Lane rủi ro vận hành,lane-day (region x traffic_source x date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
lane_refund_to_rev_7d,Xác định lane có doanh thu chất lượng thấp,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: refund/revenue theo lane,Lane rủi ro vận hành,lane-day (region x traffic_source x date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
lane_cancel_rate_7d,Xác định lane mất đơn nhiều,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: cancel_rate theo lane,Lane rủi ro vận hành,lane-day (region x traffic_source x date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
lane_stockout_rate_7d,"Lane bị hụt hàng, dễ hụt forecast",Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: stockout_rate theo lane,Lane rủi ro vận hành,lane-day (region x traffic_source x date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
lane_cod_share_7d,Lane có rủi ro hủy/trả cao do COD,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: COD share theo lane,Lane rủi ro vận hành,lane-day (region x traffic_source x date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
lane_profit_leakage_proxy,Proxy lane đang rò rỉ lợi nhuận,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: lane_revenue * lane_refund_to_rev * lane_late_rate,Lane rủi ro vận hành,lane-day (region x traffic_source x date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
late_x_refund,Khi vận hành trễ kéo theo refund tăng,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: late_rate_7d * refund_to_revenue_7d,Tương tác vận hành,business-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
late_tail_x_low_rating,Đo cụm tail-risk làm xấu trải nghiệm,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: orders_8_10_days_share * rating_leq2_share_7d,Tương tác vận hành,business-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
